Date,Adj Close
2024-09-01,38526.2
2024-08-01,39305.2
2024-07-01,38139.9
2024-06-01,37430.4
2024-05-01,38608.4
2024-04-01,36920.8
2024-03-01,37300.8
2024-02-01,33541.0
2024-01-01,33790.3
2023-12-01,33718.0
2023-11-01,33469.0
2023-10-01,29983.9
2023-09-01,31157.1
2023-08-01,31407.0
2023-07-01,31845.3
2023-06-01,31417.3
2023-05-01,29512.5
2023-04-01,30080.8
2023-03-01,29698.4
2023-02-01,30201.3
2023-01-01,29036.1
2022-12-01,26332.9
2022-11-01,26686.3
2022-10-01,25348.4
2022-09-01,23354.7
2022-08-01,24997.3
2022-07-01,25849.3
2022-06-01,25462.4
2022-05-01,27726.6
2022-04-01,26856.5
2022-03-01,26169.0
2022-02-01,26256.5
2022-01-01,26670.3
2021-12-01,26878.0
2021-11-01,25546.1
2021-10-01,27830.4
2021-09-01,26951.5
2021-08-01,27099.1
2021-07-01,26568.8
2021-06-01,26869.9
2021-05-01,27709.9
2021-04-01,26664.2
2021-03-01,25881.6
2021-02-01,24797.5
2021-01-01,23385.5
2020-12-01,24262.0
2020-11-01,24152.3
2020-10-01,19270.0
2020-09-01,20018.0
2020-08-01,20770.0
2020-07-01,20495.7
2020-06-01,21439.9
2020-05-01,20858.3
2020-04-01,20332.7
2020-03-01,19841.7
2020-02-01,25467.8
2020-01-01,27342.6
2019-12-01,27790.0
2019-11-01,27077.6
2019-10-01,26755.6
2019-09-01,26563.6
2019-08-01,25319.3
2019-07-01,25773.6
2019-06-01,26298.3
2019-05-01,25550.7
2019-04-01,27143.2
2019-03-01,25959.7
2019-02-01,26041.6
2019-01-01,25421.4
2018-12-01,23838.9
2018-11-01,25201.8
2018-10-01,24623.3
2018-09-01,25904.6
2018-08-01,25928.8
2018-07-01,27229.8
2018-06-01,26384.2
2018-05-01,25752.2
2018-04-01,27134.6
2018-03-01,25884.7
2018-02-01,26506.5
2018-01-01,28153.1
2017-12-01,26939.6
2017-11-01,27264.2
2017-10-01,28084.9
2017-09-01,27567.3
2017-08-01,27336.8
2017-07-01,27827.1
2017-06-01,27588.6
2017-05-01,28546.5
2017-04-01,28078.1
2017-03-01,27252.0
2017-02-01,24876.9
2017-01-01,24251.4
2016-12-01,24215.1
2016-11-01,22424.4
2016-10-01,23498.5
2016-09-01,22456.3
2016-08-01,22275.2
2016-07-01,21944.1
2016-06-01,20730.3
2016-05-01,22788.5
2016-04-01,22643.4
2016-03-01,21737.0
2016-02-01,21064.9
2016-01-01,21908.7
2015-12-01,23602.0
2015-11-01,25611.7
2015-10-01,25419.3
2015-09-01,23393.4
2015-08-01,25093.4
2015-07-01,27312.2
2015-06-01,26156.0
2015-05-01,27175.1
2015-04-01,27437.8
2015-03-01,27644.6
2015-02-01,26772.5
2015-01-01,24916.4
2014-12-01,24469.9
2014-11-01,25519.4
2014-10-01,24694.8
2014-09-01,25411.8
2014-08-01,25149.7
2014-07-01,25097.7
2014-06-01,25358.0
2014-05-01,25012.4
2014-04-01,24100.3
2014-03-01,23720.8
2014-02-01,23139.6
2014-01-01,22695.7
2013-12-01,22528.6
2013-11-01,22289.0
2013-10-01,22327.0
2013-09-01,20608.5
2013-08-01,18569.8
2013-07-01,18889.9
2013-06-01,17147.8
2013-05-01,18330.6
2013-04-01,18512.6
2013-03-01,17280.5
2013-02-01,17948.7
2013-01-01,18236.5
2012-12-01,17634.8
2012-11-01,17053.5
2012-10-01,16827.9
2012-09-01,16431.6
2012-08-01,15811.0
2012-07-01,14355.0
2012-06-01,14890.1
2012-05-01,12708.9
2012-04-01,14367.1
2012-03-01,16245.2
2012-02-01,17165.2
2012-01-01,17239.4
2011-12-01,17157.8
2011-11-01,16906.0
2011-10-01,17698.4
2011-09-01,16823.5
2011-08-01,17122.4
2011-07-01,18850.2
2011-06-01,20094.5
2011-05-01,20293.8
2011-04-01,20738.5
2011-03-01,20119.4
2011-02-01,20636.9
2011-01-01,20538.2
2010-12-01,18598.8
2010-11-01,17420.4
2010-10-01,20144.1
2010-09-01,19501.6
2010-08-01,18888.2
2010-07-01,19405.9
2010-06-01,17002.1
2010-05-01,17103.9
2010-04-01,18892.9
2010-03-01,19536.2
2010-02-01,18568.0
2010-01-01,19616.4
2009-12-01,21360.1
2009-11-01,20718.6
2009-10-01,20179.9
2009-09-01,20696.6
2009-08-01,20002.1
2009-07-01,19046.1
2009-06-01,17011.5
2009-05-01,16373.1
2009-04-01,15191.9
2009-03-01,13307.8
2009-02-01,12973.0
2009-01-01,14335.7
2008-12-01,15447.7
2008-11-01,14953.5
2008-10-01,15134.6
2008-09-01,18184.2
2008-08-01,19375.5
2008-07-01,19597.7
2008-06-01,19695.7
2008-05-01,22219.9
2008-04-01,22351.8
2008-03-01,21420.3
2008-02-01,21261.2
2008-01-01,21318.0
2007-12-01,24446.0
2007-11-01,25253.1
2007-10-01,25343.6
2007-09-01,23198.4
2007-08-01,23044.6
2007-07-01,23509.2
2007-06-01,23490.8
2007-05-01,24173.5
2007-04-01,22533.2
2007-03-01,22897.8
2007-02-01,22277.3
2007-01-01,22722.2
2006-12-01,21974.0
2006-11-01,21512.4
2006-10-01,21264.0
2006-09-01,19966.8
2006-08-01,18747.4
2006-07-01,18214.6
2006-06-01,17664.2
2006-05-01,17335.2
2006-04-01,18054.2
2006-03-01,17958.3
2006-02-01,17780.8
2006-01-01,16793.7
2005-12-01,16152.2
2005-11-01,15887.1
2005-10-01,15709.6
2005-09-01,16161.0
2005-08-01,14956.1
2005-07-01,15092.9
2005-06-01,14505.1
2005-05-01,13960.0
2005-04-01,13249.6
2005-03-01,13595.2
2005-02-01,13783.3
2005-01-01,13518.2
2004-12-01,13241.2
2004-11-01,12675.7
2004-10-01,12215.0
2004-09-01,11628.3
2004-08-01,11396.9
2004-07-01,11453.3
2004-06-01,11604.8
2004-05-01,11416.1
2004-04-01,11565.8
2004-03-01,11415.3
2004-02-01,11739.6
2004-01-01,11270.3
